uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
collectie:meeteenheid,be.vlaanderen.bodemenondergrond.data.id.collection.meeteenheid.meeteenheid,,,Collectie van meeteenheid.,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,
concept:127,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.127,collectie:meeteenheid,127,%,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:115,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.115,collectie:meeteenheid,115,-,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:100,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.100,collectie:meeteenheid,100,/100ml,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:113,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.113,collectie:meeteenheid,113,/250ml,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:103,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.103,collectie:meeteenheid,103,/50ml,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:131,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.131,collectie:meeteenheid,131,cm,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:141,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.141,collectie:meeteenheid,141,cmol(+)/kg,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:22,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.22,collectie:meeteenheid,22,Duitse hardheidsgraden,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:122,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.122,collectie:meeteenheid,122,Duitse_hardheidsgraden,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:118,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.118,collectie:meeteenheid,118,Franse _hardheidsgraden,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:19,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.19,collectie:meeteenheid,19,Franse hardheidsgraden,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:143,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.143,collectie:meeteenheid,143,g,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
concept:133,be.vlaanderen.bodemenondergrond.data.id.concept.meeteenheid.133,collectie:meeteenheid,133,g/100g,,,,,,,,,,,,,conceptscheme:meeteenheid,,,,,,,conceptscheme:meeteenheid
